Photometry of Phase I galaxies,,,,,,,,,,,,,,,,,19.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,< slope,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.704329435,< zero,,,,,
,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.75,< avg color,,,15.5,#REF!
,,,,,2MASS,,,,,,UKIDSS 10,,,,,,,,,,,,,,,,,,,Coords for 2MASS/WISE input,,,,,,,Decimal coords,,WISE extraction,,,,,,,,,,,,,,Fill in gaps in log lambda,,,,,,,,,,,Compute J from z,,0.27,0.31,< sigma,,,19.7,#REF!
ID,Name,z,phot'y,Q4,J,err,H,err,K,err,Y,err,J,err,H,err,K,err,u,err,g,err,r,err,i,err,z,err,,h,m,s,d,m,s,<0,ra,dec,name,dist,ra,dec,w1,err,w2,err,w3,err,w4,err,Note,,band,lam,loglam,N,,,,,,,,z,<J>,<J-H>,<J-K>,,,,,
20,J120627.62+002335.3,1.11,UK:  ,,,,,,,,17.705,0.023,17.589,0.034,16.755,0.029,15.984,0.032,20.910,0.070,20.193,0.017,19.070,0.011,18.680,0.011,18.550,0.030,,12,6,27.62,#VALUE!,23,35.3,0,181.615083,#VALUE!,J120627.62+002335.3,0.12,181.6151144,0.393149,14.542,0.031,13.305,0.031,10.667,0.098,8.725,0.463,,,,,,,,,,,,,,,,,,,,,,
21,J123549.95+013252.6,1.29,UK:  ,,,,,,,,18.141,0.034,17.656,0.034,16.418,0.019,16.186,0.028,21.370,0.140,20.780,0.040,19.900,0.023,19.120,0.019,18.820,0.050,,12,35,49.95,#VALUE!,32,52.6,0,188.958125,#VALUE!,J123549.93+013252.7,0.27,188.9580579,1.5479786,14.975,0.037,13.997,0.042,10.900,0.120,8.486,0.412,,,,,,,,,,,,,,,,,,,,,,
22,J132401.53+032020.6,0.93,UK:  ,,,,,,,,17.897,0.027,16.680,0.015,16.582,0.025,15.828,0.026,21.000,0.088,19.968,0.019,19.254,0.015,18.949,0.018,18.480,0.035,,13,24,1.53,#VALUE!,20,20.6,0,201.006375,#VALUE!,J132401.53+032020.6,0.12,201.0064032,3.3390713,14.534,0.029,13.325,0.031,10.365,0.073,7.893,0.184,,,,,,,,,,,,,,,,,,,,,,
23,J142703.62+270940.3,1.17,  :  ,,,,,,,,,,,,,,,,20.781,0.082,19.632,0.020,18.461,0.009,18.127,0.010,17.986,0.026,,14,27,3.62,#VALUE!,9,40.3,0,216.765083,#VALUE!,J142703.63+270940.4,0.21,216.7651369,27.1612283,14.299,0.027,12.994,0.026,10.033,0.044,8.013,0.163,,,,,,,,,,,,,,,,,,,,,,
24,J155633.77+351757.3,1.50,  :2M,,15.912,0.066,14.905,0.067,14.787,0.098,,,,,,,,,22.530,0.340,20.800,0.030,19.891,0.020,18.013,0.008,17.605,0.020,,15,56,33.77,#VALUE!,17,57.3,0,239.140708,#VALUE!,J155633.77+351757.4,0.18,239.1407401,35.2992922,13.195,0.024,11.732,0.022,8.753,0.022,6.665,0.055,,,,,,,,,,,,,,,,,,,,,,
25,J210712.77+005439.4,0.92,,,,,,,,,19.131,0.105,17.804,0.051,17.423,0.070,15.786,0.022,22.390,0.310,20.520,0.025,20.520,0.030,20.340,0.040,19.720,0.080,,21,7,12.77,#VALUE!,54,39.4,0,316.803208,#VALUE!,J210712.77+005439.5,0.15,316.8032272,0.9109821,13.263,0.025,11.632,0.022,8.563,0.025,6.312,0.060,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropped from phase 1 sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,J091103.49+444630.4,1.30,  :  ,N,,,,,,,,,,,,,,,22.560,0.410,22.060,0.100,20.820,0.050,20.050,0.040,19.180,0.070,,9,11,3.49,#VALUE!,46,30.4,0,137.764542,#VALUE!,J091103.49+444630.4,0.05,137.7645557,44.7751196,14.437,0.028,12.694,0.025,8.989,0.029,6.575,0.062,,,,,,,,,,,,,,,,,,,,,,
13,J102358.97+015255.8,1.08,  :  ,N,,,,,,,,,,,,,,,20.310,0.060,19.917,0.018,19.316,0.014,19.110,0.017,18.900,0.050,,10,23,58.97,#VALUE!,52,55.8,0,155.995708,#VALUE!,J102358.95+015255.5,0.41,155.9956278,1.8820855,16.169,0.066,15.381,0.120,11.552,,8.615,,,,,,,,,,,,,,,,,,,,,,,
23,J121441.42-000137.8,1.05,UK:  ,N,,,,,,,17.725,0.025,17.581,0.038,16.856,0.038,15.977,0.030,20.491,0.048,19.374,0.011,18.761,0.010,18.772,0.012,18.518,0.029,,12,14,41.42,0,1,37.8,1,183.672583,-0.027167,J121441.42-000137.9,0.19,183.6726247,-0.0272006,14.144,0.029,12.807,0.029,10.087,0.091,7.940,0.215,,,,,,,,,,,,,,,,,,,,,,
28,J173753.97+553604.8,1.10,  :  ,N,,,,,,,,,,,,,,,20.340,0.060,20.120,0.020,19.856,0.022,19.820,0.030,19.830,0.120,,17,37,53.97,#VALUE!,36,4.8,0,264.474875,#VALUE!,J173753.98+553604.7,0.12,264.4749329,55.6013259,15.667,0.033,14.354,0.031,11.410,0.093,8.863,0.234,,,,,,,,,,,,,,,,,,,,,,
30,J221511.93-004549.9,1.48,,,15.653,0.059,14.891,0.051,14.694,0.092,,,,,,,,,18.400,0.019,17.381,0.005,16.574,0.004,16.483,0.005,16.590,0.009,,22,15,11.93,0,45,49.9,1,333.799708,-0.763861,J221511.93-004549.9,0.09,333.7997225,-0.7638802,13.995,0.027,13.011,0.029,9.796,0.047,7.059,0.106,,,,,,,,,,,,,,,,,,,,,,
31,J233646.20-010732.6,1.29,,,,,,,,,,,,,,,,,24.930,1.540,24.140,0.730,22.680,0.260,21.700,0.190,21.380,0.490,,23,36,46.20,-1,7,32.6,1,354.192500,-1.125722,J233645.53-010739.8,12.27,354.1897468,-1.1277321,17.017,0.127,16.793,,12.298,,8.430,,,,,,,,,,,,,,,,,,,,,,,
32,PG0946+301,,,,,,,,,,,,,,,,,,16.671,0.007,16.357,0.004,16.062,0.004,15.997,0.005,16.024,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
